nreads	medianreads	meanreads	sdreads	mediangenes	meangenes	sdgenes
0	0	0	0	0	0	0
1e+06	13995.5	13888.8888888889	3997.59565258481	5198	5059.75	903.794095801491
2e+06	28055.5	27777.7777777778	7986.89912897369	7325	7148.51388888889	1041.12716536083
3e+06	41931.5	41666.6666666667	12005.5084199935	8649	8424.65277777778	1069.09270681584
4e+06	55923	55555.5555555556	15975.8359131418	9425.5	9300.80555555556	1056.56993048112
5e+06	70561.5	69444.4444444444	19956.9525891294	10177	9974.84722222222	1032.53840988096
6e+06	84366.5	83333.3333333333	24001.5501130862	10664	10506.9305555556	1012.127230303
7e+06	98285.5	97222.2222222222	27913.0855921352	11071.5	10941.2083333333	996.896224662567
8e+06	112335.5	111111.111111111	31924.5500496844	11488	11293.8055555556	974.021468353635
9e+06	126398	125000	35934.698436054	11757	11604.3333333333	965.25835409016
1e+07	140418.5	138888.888888889	39932.0739963435	12084	11878.8888888889	951.291095324569
1.5e+07	210625.5	208333.333333333	59918.0239888833	13088	12877.7222222222	910.012524634785
2e+07	280469	277777.777777778	79916.6560753125	13708	13535.2361111111	892.891039407993
2.5e+07	352317.5	347222.222222222	99844.4693409609	14169.5	14029.25	883.239822758826
3e+07	421160.5	416666.666666667	119743.48008538	14607.5	14420.7916666667	879.86924344665
3.5e+07	490864	486111.111111111	139753.190402602	14932.5	14751.2083333333	872.409597197148
4e+07	561177	555555.555555556	159712.104175853	15192.5	15027.9583333333	891.531905814092
4.5e+07	632035	625000	179907.375065576	15439.5	15257.7083333333	903.329762717507
5e+07	702161	694444.444444445	199771.091583109	15665	15475.3194444444	901.436581575489
7.5e+07	1053316.5	1041666.66666667	299438.394241244	16543.5	16271.9166666667	950.858985264984
1e+08	1407011	1388888.88888889	399244.536177966	17093	16810.4583333333	989.91893162884
1.25e+08	1756268.5	1736111.11111111	499521.811030226	17477	17214.125	1017.64880820005
1.5e+08	2107959.5	2083333.33333333	599068.58739368	17784.5	17539.7638888889	1052.45549894956
1.75e+08	2460493	2430555.55555556	699263.524639606	18085	17804.4305555556	1081.09962051411
2e+08	2810577	2777777.77777778	798671.531976628	18246.5	18038.8611111111	1101.35844807329
2.25e+08	3160660	3125000	898952.132218145	18499	18227.8333333333	1121.97593557081
2.5e+08	3514083	3472222.22222222	998696.020904234	18656	18392.4027777778	1139.74555672601
2.75e+08	3865234.5	3819444.44444444	1098592.35718422	18830	18542.9444444444	1153.60389238771
3e+08	4217042.5	4166666.66666667	1197982.06921555	18908	18676.2638888889	1166.15095769905
3.25e+08	4566769.5	4513888.88888889	1298171.46762188	19023.5	18791.1111111111	1175.68916026514
3.5e+08	4919643	4861111.11111111	1398134.67010153	19114.5	18892.4027777778	1186.81353068285
3.75e+08	5273083	5208333.33333333	1497837.29923878	19208	18990.5	1193.24943970325
4e+08	5620785	5555555.55555556	1598160.58222925	19326.5	19076.1388888889	1202.41776745041
4.25e+08	5973303	5902777.77777778	1697296.07422982	19386.5	19155.125	1215.02184455527
4.5e+08	6324251	6250000	1797542.63509566	19442	19221.5416666667	1223.5657650237
