hpi	virus	temperature	donor	treatment	sample	replicate	titer
1	SARS2	33	2	T3	Apical	2	1
1	SARS2	37	2	T3	Apical	1	1
1	SARS2	37	2	T3	Apical	2	1
1	SARS	33	2	T3	Apical	1	800
1	SARS	33	2	T3	Apical	2	1
1	SARS	37	2	T3	Apical	1	360
1	SARS	37	2	T3	Apical	2	400
24	SARS2	33	2	T3	Apical	1	1
24	SARS2	33	2	T3	Apical	2	1
24	SARS2	37	2	T3	Apical	1	1
24	SARS2	37	2	T3	Apical	2	1
24	SARS	33	2	T3	Apical	1	80
24	SARS	33	2	T3	Apical	2	160
24	SARS	37	2	T3	Apical	1	1
24	SARS	37	2	T3	Apical	2	1
48	SARS2	33	2	T3	Apical	1	1
48	SARS2	33	2	T3	Apical	2	1
48	SARS2	37	2	T3	Apical	1	1
48	SARS2	37	2	T3	Apical	2	1
48	SARS	33	2	T3	Apical	1	1
48	SARS	33	2	T3	Apical	2	1
48	SARS	37	2	T3	Apical	1	1
48	SARS	37	2	T3	Apical	2	1
72	SARS2	33	2	T3	Apical	1	1
72	SARS2	33	2	T3	Apical	2	1
72	SARS2	37	2	T3	Apical	1	1
72	SARS2	37	2	T3	Apical	2	1
72	SARS	33	2	T3	Apical	1	1
72	SARS	33	2	T3	Apical	2	40
72	SARS	37	2	T3	Apical	1	1
72	SARS	37	2	T3	Apical	2	1
1	SARS2	33	2	N	Apical	1	80
1	SARS2	33	2	N	Apical	2	400
1	SARS2	37	2	N	Apical	1	320
1	SARS2	37	2	N	Apical	2	120
1	SARS	33	2	N	Apical	1	760
1	SARS	33	2	N	Apical	2	400
1	SARS	37	2	N	Apical	1	440
1	SARS	37	2	N	Apical	2	240
24	SARS2	33	2	N	Apical	1	1
24	SARS2	33	2	N	Apical	2	120
24	SARS2	37	2	N	Apical	1	360
24	SARS2	37	2	N	Apical	2	1
24	SARS	33	2	N	Apical	1	1
24	SARS	33	2	N	Apical	2	160
24	SARS	37	2	N	Apical	1	320
24	SARS	37	2	N	Apical	2	80
48	SARS2	33	2	N	Apical	1	3200
48	SARS2	33	2	N	Apical	2	2800
48	SARS2	37	2	N	Apical	1	2800
48	SARS2	37	2	N	Apical	2	320
48	SARS	33	2	N	Apical	1	1200
48	SARS	33	2	N	Apical	2	1600
48	SARS	37	2	N	Apical	1	6000
48	SARS	37	2	N	Apical	2	3600
72	SARS2	33	2	N	Apical	1	4000
72	SARS2	33	2	N	Apical	2	48000
72	SARS2	37	2	N	Apical	1	44000
72	SARS2	37	2	N	Apical	2	5600
72	SARS	33	2	N	Apical	1	24000
72	SARS	33	2	N	Apical	2	8000
72	SARS	37	2	N	Apical	1	40000
72	SARS	37	2	N	Apical	2	8000
1	SARS2	33	3	T1	Apical	1	1
1	SARS2	33	3	T1	Apical	2	40
1	SARS2	37	3	T1	Apical	1	40
1	SARS2	37	3	T1	Apical	2	1
1	SARS	33	3	T1	Apical	1	240
1	SARS	33	3	T1	Apical	2	40
1	SARS	37	3	T1	Apical	1	360
1	SARS	37	3	T1	Apical	2	400
24	SARS2	33	3	T1	Apical	1	40
24	SARS2	33	3	T1	Apical	2	1
24	SARS2	37	3	T1	Apical	1	1
24	SARS2	37	3	T1	Apical	2	1
24	SARS	33	3	T1	Apical	1	80
24	SARS	33	3	T1	Apical	2	1
24	SARS	37	3	T1	Apical	1	40
24	SARS	37	3	T1	Apical	2	80
0	SARS	37	3	T1	Apical	1	320000
0	SARS2	37	3	T1	Apical	1	40000
0	SARS	33	3	T1	Apical	1	320000
0	SARS2	33	3	T1	Apical	1	40000
48	SARS2	33	3	T1	Apical	1	1
48	SARS2	33	3	T1	Apical	2	1
48	SARS2	37	3	T1	Apical	1	1
48	SARS2	37	3	T1	Apical	2	1
